
Page Name;Page loading time(in sec);Date and time
Total time required for homepage;4;Wed May 11 22:13:43 IST 2016
Total time required for Search;5;Wed May 11 22:13:43 IST 2016
Total time required for Category Page;2;Wed May 11 22:13:43 IST 2016
Time taken to requuired subcategory page;1;Wed May 11 22:13:43 IST 2016
Time to load product page;0;Wed May 11 22:13:43 IST 2016
Total time required for cart Page;9;Wed May 11 22:13:43 IST 2016
Total time required for checkout Page;0;Wed May 11 22:13:43 IST 2016
